species_name,primary_strain,temperature_span_c,temperature_min_low_c,temperature_opt_low_c,temperature_max_high_c
Flavisolibacter tropicus,LCS9,27,10,25,37
Flavitalea antarctica,AQ6-291T,24,4,20,28
Flavitalea gansuensis,JCN-23,22,15,30,37
Flavitalea populi,HY-50RT,22,15,30,37
Flavivirga amylovorans,JC2681,26,4,25,30
Flavivirga aquimarina,,25,10,25,35
Flavivirga aquimarina,EC2D5,25,10,25,35
Flavivirga eckloniae,,25,10,25,35
Flavivirga eckloniae,ECD14,25,10,25,35
Flavivirga jejuensis,JC2682,26,4,25,30
Flavivirga rizhaonensis,RZ03,23,7,25,30
Flavobacterium aciduliphilum,JJ013T,10,20,25,30
Flavobacterium adhaerens,KCTC 102268T,8,22,28,30
Flavobacterium aerium,DSM 116640T,26,4,22,30
Flavobacterium ahnfeltiae,10Alg 130,31,4,25,35
Flavobacterium algicola,NBRC 102673T,20,5,20,25
Flavobacterium alkalisoli,CGMCC 1,35,10,35,45
Flavobacterium alvei,KACC 19407T,25,5,20,30
Flavobacterium amniphilum,KYPY10T,10,20,25,30
Flavobacterium amylolyticum,CGMCC 1,23,0,14,23
Flavobacterium anatoliense,MK3,34,6,28,40
Flavobacterium anhuiense,D3,32,5,25,37
Flavobacterium anhuiense,KCTC 22128T,32,5,30,37
Flavobacterium anseonense,ARSA-111,27,10,25,37
Flavobacterium antarcticum,AT1026T,39.6,-14.5,21.2,25.1
Flavobacterium antarcticum,AT1026,40.1,-15,21.2,25.1
Flavobacterium aquaticum,JC164,30,10,30,40
Flavobacterium aquicola,TMd3a3,26,4,25,30
Flavobacterium aquidurense,WB 1.1-56,17,13,19,30
Flavobacterium aquimarinum,Dol 15-39,33,4,28,37
Flavobacterium araucananum,LM-19-Fp,26,4,25,30
Flavobacterium arcticum,SM1502T,30,10,25,40
Flavobacterium ardleyense,A2-1T,18,4,10,22
Flavobacterium arsenatis,Z^T,38,4,30,42
Flavobacterium arsenatis,Z,41,4,30,45
Flavobacterium arsenitoxidans,S2-3H,25,10,25,35
Flavobacterium artemisiae,SYP-B1015T,29,5,28,34
Flavobacterium arundinis,KACC 23722T,20,10,25,30
Flavobacterium aurantiibacter,TH167T,28,4,28,32
Flavobacterium banpakuense,15F3T,24,10,30,34
Flavobacterium beibuense,F44-8,33,4,28,37
Flavobacterium beibuense,LMG 25233T,37,4,28,41
Flavobacterium branchiarum,57B-2-09,10,15,20,25
Flavobacterium branchiicola,59B-3-09,10,15,20,25
Flavobacterium branchiophilum,Wakabayashi BGD-7721,25,5,18,30
Flavobacterium brevivitae,TTM-43T,15,15,20,30
Flavobacterium buctense,T7,15,15,25,30
Flavobacterium caeni,LM5,25,10,22.5,35
Flavobacterium caeni,CGMCC 1,25,10,25,35
Flavobacterium calami,KACC 23723T,25,10,25,35
Flavobacterium cauense,R2A-7,17,20,28,37
Flavobacterium cerinum,1E403T,33,4,28,37
Flavobacterium ceti,454-2T,38,4,37,42
Flavobacterium ceti,454-2,15,22,35,37
Flavobacterium cheniae,CGMCC 1,14,18,28,32
Flavobacterium cheonanense,ARSA-108,33,4,25,37
Flavobacterium cheonhonense,ARSA-15,27,10,25,37
Flavobacterium chilense,,26,4,26.5,30
Flavobacterium chilense,LM-09-Fp,26,4,25,30
Flavobacterium chuncheonense,IMCC26013,15,15,25,30
Flavobacterium chungangense,CJ7T,30,5,25,35
Flavobacterium chungangensis,MAH-10,25,10,28,35
Flavobacterium chungbukense,CS100,26,4,25,30
Flavobacterium chungnamense,ARSA-103,20,10,25,30
Flavobacterium circumlabens,,39,1,20,40
Flavobacterium cloacae,JCM 31173T,30,15,40,45
Flavobacterium cloacae,wh15,30,15,25,45
Flavobacterium collinsense,4-T-2,24,4,19,28
Flavobacterium collinsense,T-2T,24,4,18,28
Flavobacterium collinsii,983-08,10,15,22,25
Flavobacterium columnare,1-S-2cl,22,15,25,37
Flavobacterium commune,PK15T,36,4,30,40
Flavobacterium compostarboris,15C3,24,9,25,33
Flavobacterium crassostreae,LPB0076,26,4,25,30
Flavobacterium croceum,KCTC 12611T,35,10,35,45
Flavobacterium croceum,EMB47,30,10,25,40
Flavobacterium cryophilum,CGMCC 1,21,0,14,21
Flavobacterium cucumis,KACC 11732T,32,5,30,37
Flavobacterium cupreum,,39,1,30,40
Flavobacterium cutihirudinis,E89T,20,10,25,30
Flavobacterium cutihirudinis,E89,20,10,25,30
Flavobacterium cyanobacteriorum,TH021T,28,4,28,32
Flavobacterium daemonense,THG-DJ7,31,2,25,33
Flavobacterium daemonensis,KACC 17651T,31,2,25,33
Flavobacterium dankookense,ARSA-19T,26,4,25,30
Flavobacterium dankookense,ARSA-19,33,4,25,37
Flavobacterium defluvii,KCTC 12612T,30,10,30,40
Flavobacterium defluvii,EMB117,30,10,25,40
Flavobacterium degerlachei,LMG 21915,25,5,20,30
Flavobacterium denitrificans,ED5,20,10,25,30
Flavobacterium denitrificans,DSM 15936T,35,5,30,40
Flavobacterium dispersum,MVW-23,15,15,22.5,30
Flavobacterium dongtanense,LW30,33,4,30,37
Flavobacterium eburneum,KACC 18743T,25,10,25,35
Flavobacterium effusum,BCRC 80973T,15,15,30,30
Flavobacterium endophyticum,522T,35,10,30,45
Flavobacterium enshiense,DK69T,28,4,28,32
Flavobacterium esculini,CGMCC 1,25,0,14,25
Flavobacterium facile,CECT 30410T,20,5,18,25
Flavobacterium faecale,WV33,20,10,16,30
Flavobacterium filum,KCTC 12610T,30,10,35,40
Flavobacterium filum,EMB34,30,10,25,40
Flavobacterium flavipallidum,KACC 23725T,20,15,25,35
Flavobacterium flevense,van der Meulen A-34,30,0,20,30
Flavobacterium fluminis,3R17T,26,4,25,30
Flavobacterium fluviatile,TAPY14T,15,15,25,30
Flavobacterium fluviatile,TAPY14,15,15,20,30
Flavobacterium fluvii,H7T,30,5,30,35
Flavobacterium fluvii,H7,20,15,25,35
Flavobacterium foetidum,CJ42T,22,15,30,37
Flavobacterium fontis,MIC3010T,27,15,25,42
Flavobacterium fontis,MIC3010,30,15,25,45
Flavobacterium frigidarium,A2iT,24,0,15,24
Flavobacterium frigidimaris,KUC-1,24,2,18,26
Flavobacterium frigidum,CGMCC 1,22,0,14,22
Flavobacterium fructosi,CGMCC 1,21,0,14,21
Flavobacterium fryxellicola,LMG 22022T,20,5,20,25
Flavobacterium gelidilacus,LMG 21477,20,5,20,25
Flavobacterium gillisiae,ACAM 601,27,0,20,27
Flavobacterium gilvum,EM1308T,26,4,28,30
Flavobacterium ginsengisoli,DCY54,31,4,25,35
Flavobacterium ginsengiterrae,DCY55,31,4,28,35
Flavobacterium ginsenosidimutans,KACC 14525T,27,10,37,37
Flavobacterium ginsenosidimutans,THG 01,27,10,25,37
Flavobacterium glaciei,0499T,21,4,21,25
Flavobacterium glucosi,CGMCC 1,25,0,14,25
Flavobacterium glycines,Gm-149T,25,10,28,35
Flavobacterium glycogeni,CGMCC 1,25,0,14,25
Flavobacterium gossypii,JM-222T,41,4,30,45
Flavobacterium granuli,Kw05T,22,15,30,37
Flavobacterium granuli,Kw05,22,15,25,37
Flavobacterium gyeonganense,HME7524T,33,4,30,37
Flavobacterium gyeonganense,HME7524,27,10,30,37
Flavobacterium hankyongi,KTCe-4,12,18,30,30
Flavobacterium haoranii,LQY-7T,22,15,30,37
Flavobacterium hauense,BX12T,37,0,28,37
Flavobacterium hauense,BX12,28,4,28,32
Flavobacterium helocola,KACC 23724T,35,15,25,50
Flavobacterium heparinum,ATCC 13125,20,10,20,30
Flavobacterium hercynium,WB 4.2-33,17,12,20,29
Flavobacterium hibernum,ATCC 51468T,38,-7,26,31
Flavobacterium hibisci,KACC 18852T,20,15,25,35
Flavobacterium humi,DS2-A,28,4,28,32
Flavobacterium humidisoli,KCTC 92256T,30,4,30,34
Flavobacterium hydatis,WBUAFS-KG3,30,5,20,35
Flavobacterium indicum,DSM 17447T,27,15,37,42
Flavobacterium inkyongense,KCTC 52244T,27,10,30,37
Flavobacterium jejuense,EC11,20,10,25,30
Flavobacterium johnsoniae,van Niel MYX 1.1.1,20,10,25,30
Flavobacterium jumunjinense,HME7102T,15,15,25,30
Flavobacterium keumense,K3R-10T,31,4,30,35
Flavobacterium kingsejongi,WV39T,27,10,25,37
Flavobacterium kochi,CGMCC 1,25,0,14,25
Flavobacterium koreense,ARSA-42,33,4,25,37
Flavobacterium kyungheense,THG-107,33,4,20,37
Flavobacterium labens,CGMCC 1,27,0,14,27
Flavobacterium lacicola,KCTC 52571T,20,10,20,30
Flavobacterium lacunae,AHQ-46,10,20,20,30
Flavobacterium lacunae,,10,20,22.5,30
Flavobacterium lacus,NP180T,21,4,20,25
Flavobacterium lacus,NP180,21,4,15,25
Flavobacterium laiguense,CGMCC 1,16,4,14,20
Flavobacterium limi,THG-AG6.4T,25,10,35,35
Flavobacterium limi,THG-AG6.4,25,10,25,35
Flavobacterium limicola,JCM 11473T,25,0,20,25
Flavobacterium limicola,ST-82,25,0,15,25
Flavobacterium limnosediminis,JC2902T,27,10,30,37
Flavobacterium lindanitolerans,IP-10T,27,10,37,37
Flavobacterium longum,,26.5,4,30,37
Flavobacterium longum,YIT 12745,27,10,30,37
Flavobacterium luteum,IMCC26026,33,4,20,37
Flavobacterium luticocti,JCM 31174T,25,15,37,40
Flavobacterium luticocti,xz20,25,15,25,40
Flavobacterium lutivivi,HQQ,19,18,25,37
Flavobacterium macacae,KCTC 52099T,26,4,28,30
Flavobacterium macrobrachii,an-8T,15,15,25,30
Flavobacterium maotaiense,T9T,17,20,25,37
Flavobacterium marinum,SW105T,30,15,35,45
Flavobacterium maris,KMM 9535,31,5,28,36
Flavobacterium maritimum,CGMCC 1,33,4,28,37
Flavobacterium microcysteis,MaA-Y11T,12,25,30,37
Flavobacterium multivorum,B5533,37,5,30,42
Flavobacterium myungsuense,,26,4,20,30
Flavobacterium myungsuense,HMD1033,21,4,20,25
Flavobacterium naphthae,Brt-MT,30,15,30,45
Flavobacterium naphthae,Brt-M,30,15,25,45
Flavobacterium nitratireducens,N1T,30,15,30,45
Flavobacterium nitrogenifigens,NXU-44,26,10,30,36
Flavobacterium niveum,TAPW14T,15,15,20,30
Flavobacterium noncentrifugens,R-HLS-17T,29,0,15,29
Flavobacterium noncentrifugens,R-HLS-17,29,0,10,29
Flavobacterium notoginsengisoli,SYP-B540,18,17,28,35
Flavobacterium oceanosedimentum,American Type Culture Collection (ATCC) strain 31317,30,5,23,35
Flavobacterium olei,R-10-9,32,0,10,32
Flavobacterium omnivorum,JCM 11313T,20,0,11,20
Flavobacterium orientale,SP3T,33,4,25,37
Flavobacterium orientale,SP3,26,4,25,30
Flavobacterium oryzae,Jyi-05,20,10,30,30
Flavobacterium ovatum,W201ET,25,0,20,25
Flavobacterium palustre,S44T,31,6,28,37
Flavobacterium panaciterrae,DCY69,26,4,25,30
Flavobacterium panici,CIP 111646T,26,4,28,30
Flavobacterium paronense,KNUS1T,26,4,25,30
Flavobacterium paronense,KNUS1,20,10,25,30
Flavobacterium parvum,HS916,25,10,30,35
Flavobacterium pasteuri,CGMCC 1,25,0,14,25
Flavobacterium petrolei,Kopri-42T,25,0,12.5,25
Flavobacterium phocarum,SE14T,21,4,20,25
Flavobacterium phragmitis,BLN2,20,15,30,35
Flavobacterium piscinae,BCRC 81122T,20,15,20,35
Flavobacterium piscis,,15,15,25,30
Flavobacterium plurextorum,1126-1H-08,15,15,25,30
Flavobacterium ponti,GSW-R14T,25,10,25,35
Flavobacterium procerum,T3,24,10,28,34
Flavobacterium profundi,KACC 18559T,31,4,25,35
Flavobacterium psychrolimnae,LMG 22018T,20,5,20,25
Flavobacterium psychrophilum,Ordal 3068,18,5,15,23
Flavobacterium psychroterrae,CCM 8827,24,1,20,25
Flavobacterium qiangtangense,F3,26,4,20,30
Flavobacterium quisquiliarum,EA-12T,22,15,25,37
Flavobacterium rakeshii,FCS-5,22,15,30,37
Flavobacterium reichenbachii,,24,6,23,30
Flavobacterium reichenbachii,WB 3.2-61,24,6,20,30
Flavobacterium resistens,KCTC 22078T,25,15,20,40
Flavobacterium rhamnosi,CGMCC 1,25,0,14,25
Flavobacterium riviphilum,TAPY6T,27,10,20,37
Flavobacterium rivuli,WB 3.3-2,25,4,16,29
Flavobacterium saccharophilum,024 Agbo and Moss,26,4,25,30
Flavobacterium saliperosum,S13T,14,20,28,34
Flavobacterium sangjuense,GS03,26,4,25,30
Flavobacterium sasangense,YC6274T,25,10,30,35
Flavobacterium sediminis,MEBiC07310T,26,17,32,43
Flavobacterium segetis,KCTC 12224T,48.6,-29.7,14.3,18.9
Flavobacterium segetis,AT1048,16.8,5,14.3,21.8
Flavobacterium seoulense,EM1321,31,4,30,35
Flavobacterium silvisoli,RD-2-33,25,15,28,40
Flavobacterium sinopsychrotolerans,0533T,21,4,21.5,25
Flavobacterium sinopsychrotolerans,533,21,4,21,25
Flavobacterium soli,DS-6,29,4,25,33
Flavobacterium soyangense,IMCC26223T,21,4,15,25
Flavobacterium squillarum,CMJ-5T,15,20,30,35
Flavobacterium suaedae,G16-7,25,15,31.5,40
Flavobacterium subsaxonicum,,36,2,26,38
Flavobacterium subsaxonicum,WB 4.1-42,36,2,24,38
Flavobacterium suzhouense,XIN-1T,33,4,28,37
Flavobacterium swingsii,,23,3,25,26
Flavobacterium swingsii,WB 2.3-68,23,3,24,26
Flavobacterium tegetincola,ACAM 602,27,0,20,27
Flavobacterium terrae,R2A1-13T,32,5,30,37
Flavobacterium terrigena,DS-20T,20,10,25,30
Flavobacterium terriphilum,CUG00004T,26,4,28,30
Flavobacterium thalpophilum,K-1173,24,18,30,42
Flavobacterium tiangeerense,563,22,4,22.5,26
Flavobacterium tiangeerense,CGMCC 1,22,4,22,26
Flavobacterium tibetense,CICC 24247T,27,10,30,37
Flavobacterium tilapiae,Ruye-71T,20,10,30,30
Flavobacterium tilapiae,Ruye-71,20,10,15,30
Flavobacterium tistrianum,GB 56.1,15,15,25,30
Flavobacterium tructae,,15,15,25,30
Flavobacterium tyrosinilyticum,THG-DN8.8,29,4,24,33
Flavobacterium ummariense,DS-12,12,25,28,37
Flavobacterium urocaniciphilum,,33,4,30,37
Flavobacterium urocaniciphilum,YIT 12746,27,10,30,37
Flavobacterium urumqiense,,15,2,14,17
Flavobacterium urumqiense,Sr25,15,2,14,17
Flavobacterium ustbae,KCTC 62874T,26,4,25,30
Flavobacterium verecundum,TTM-46,10,20,30,30
Flavobacterium vireti,THG-SM1,5,25,28,30
Flavobacterium weaverense,KCTC 12223T,49.6,-29.7,15.3,19.9
Flavobacterium weaverense,AT1042,14.9,5,15.3,19.9
Flavobacterium xinjiangense,ZF-6T,20,0,11,20
Flavobacterium xueshanense,Sr22,16,2,14,18
Flavobacterium xylosi,CGMCC 1,19,0,14,19
Flavobacterium yabuuchiae,F8081,19,18,30,37
Flavobacterium yanchengense,hgT,22,15,30,37
Flavobacterium yonginense,,26,4,20,30
Flavobacterium yonginense,HMD1001,15,15,20,30
Flavobacterium zhouii,CGMCC 1,23,0,14,23
Flectobacillus fontis,MIB-4T,15,15,25,30
Flectobacillus lacus,CL-GP79T,25,10,27.5,35
Flectobacillus lacus,CL-GP79,25,10,25,35
Flectobacillus pallidus,MVW-6,22,15,20,37
Flectobacillus pallidus,MVW-6T,22,15,15,37
Flectobacillus rhizosphaerae,JC289T,36,4,30,40
Flectobacillus roseus,GFA-11T,36,4,25,40
Flectobacillus roseus,GFA-11,30,10,30,40
Flexibacter canadensis,UASM 9D,30,10,24,40
Flexibacter columnaris,NCMB 2248,23,10,22.5,33
Flexibacter maritimus,R2 (= NCMB 2514),19,15,30,34
Flexibacter psychrophilus,,10,10,15,20
Flexilinea flocculi,TC1,18,25,37,43
Flexirubin pigments,"by the ability to degrade xylan, starch and some other polysaccharides, by greater tolerance of acidic pH and by the inability to reduce nitrate",33,4,25,37
Flexistipes sinusarabici,MAS10,23,30,45,53
Flexivirga caeni,KACC 19647T,30,10,37,40
Flexivirga endophytica,YIM 7505,25,20,28,45
Flexivirga lutea,TBS-100,27,10,30,37
Flexivirga oryzae,R1T,27,10,30,37
Flindersiella endophytica,EUM 378T,22,15,27,37
Flindersiella endophytica,EUM 378,22,15,27,37
Floricoccus penangensis,HibF3,25,15,30,40
Floricoccus tropicus,DF1T,38,7,30,45
Floricoccus tropicus,DF1,25,15,30,40
Fluviibacterium aquatile,KCTC 72045T,27,10,30,37
Fluviibacterium aquatile,SM1902,27,10,25,37
Fluviicoccus keumensis,4DR5,30,10,30,40
Fluviicola hefeinensis,MYL-8,33,4,30,37
Fluviicola kyonggii,CA-1,22,15,25,37
Fluviimonas pallidilutea,TQQ6T,20,20,25,40
Fodinibacter luteus,YIM C003T,22,15,28,37
Fodinibius alkaliphilus,KCTC 102228T,10,30,35,40
Fodinibius salinus,YIM D17T,20,25,37,45
Fodinibius salipaludis,WN023T,10,30,35,40
Fodinicola feengrottensis,HKI 0501,22,10,28,32
Fodinicurvata fenggangensis,DSM 21160T,27,15,28,42
Fodinicurvata halophila,BA45ALT,31,14,37,45
Fodinicurvata sediminis,DSM 21159T,27,15,28,42
Fontibacillus panacisegetis,P11-6,27,15,25,42
Fontibacillus phaseoli,BAPVE7B,35,10,30,45
Fontibacillus pullulanolyticus,DSHK107,22,20,30,42
Fontibacter ferrireducens,SgZ-2T,22,15,30,37
Fonticella tunisiensis,BELH25T,25,45,55,70
Fontimonas thermophila,HA-01,23,37,47.5,60
Fontimonas thermophila,HA-01T,23,37,45,60
Formate consumption,DSM 107278T,25,40,55,65
Formosa agariphila,KMM 3901,29,4,21,33
Formosa algae,KMM 3553,41,4,23,45
Formosa arctica,IMCC9485T,20,10,25,30
Formosa haliotis,LMG 28520,25,10,25,35
Formosa maritima,KCTC 72531T,33,4,30,37
Formosa spongicola,A2T,20,15,30,35
Formosa undariae,WS-MY3,26,4,25,30
Formosimonas limnophila,AHQ-12T,27,10,25,37
Formosimonas limnophila,AHQ-12,27,10,20,37
Fournierella massiliensis,AT2,17,28,37,45
Francisella guangzhouensis,08HL01032T,19,18,25,37
Francisella halioticida,Shimane-1,17,8,20,25
Francisella hispaniensis,FhSp1T,22,20,37,42
Francisella marina,E95-16,10,20,30,30
Francisella salimarina,CGMCC 1,24,16,32,40
Franconibacter daqui,LMG 29914T,40,10,45,50
Franconibacter daqui,DL503,40,10,20,50
Frankia coriariae,BMG5.1,5,25,28,30
Frateuria defendens,DHoT,27,15,28,42
Frateuria terrea,VA24T,17,19,33,36
French bean,ATCC 12775T,40,4,28,44
Fretibacter rubidus,JC2236,40,5,30,45
Fretibacterium fastidiosum,SGP1T,17,25,37,42
Friedmanniella aerolata,7515T-26T,23,10,29,33
Friedmanniella aerolata,7515T-26,23,10,28,33
Friedmanniella antarctica,AA-1042,16,9,22,25
Friedmanniella endophytica,4Q3S-3T,17,20,29,37
Friedmanniella endophytica,4Q3S-3,17,20,28,37
Friedmanniella flava,W6,23,9,26.5,32
Friedmanniella flava,CGMCC 4,23,9,28,32
Friedmanniella lacustris,EL-17A,40.5,3,26,43.5
Friedmanniella lucida,,14,18,25,32
Friedmanniella lucida,FA2,14,18,22,32
Friedmanniella luteola,,10,18,26,28
Friedmanniella luteola,FA1,10,18,25,28
Friedmanniella okinawensis,,14,18,25,32
Friedmanniella okinawensis,FB1,14,18,22,32
Friedmanniella sagamiharensis,,14,18,25,32
Friedmanniella sagamiharensis,FB2,14,18,25,32
Friedmanniella spumicola,ACM 5121T,22,15,25,37
Frigidibacter albus,SP32T,21,4,19,25
Frigidibacter albus,SP32,21,4,18,25
Frigoribacterium endophyticum,EGI 6500707,35,10,25,45
Frigoribacterium faeni,DSM 10309,23,2,8,25
Frigoribacterium mesophilum,MSL-08T,17,20,28,37
Frigoribacterium salinisoli,LAM9155,36,4,25,40
Frigoribacterium salinisoli,JCM 30848T,36,4,25,40
Frischella perrara,PEB0191,18,24,37,42
From one,3753OT,18,42,50,60
Frondibacter aureus,A5Q-67,5,25,28,30
Frondibacter mangrovi,02OK1/10-76T,33,4,30,37
Frondibacter mangrovi,02OK1/10-76,27,10,30,37
Frondicola australicus,E1HC-02T,22,15,25,37
Frondihabitans australicus,E1HC-02,22,15,25,37
Frondihabitans cladoniiphilus,CafT13,29,1,24,30
Frondihabitans peucedani,RS-15,33,4,20,37
Frondihabitans peucedani,,33,4,25,37
Frondihabitans sucicola,KACC 15521T,26,4,28,30
Fructobacillus ficulneus,FS-1,34,6,30,40
Fructobacillus fructosus,IFO 3516,34,6,30,40
Fructobacillus tropaeoli,F214-1T,35,10,30,45
Fuchsiella alkaliacetigena,Z-7100T,20,25,40,45
Fuchsiella ferrireducens,Z-7101T,20,25,30,45
Fuchsiella ferrireducens,Z-7101,20,25,30,45
Fudania jinshanensis,CGMCC 4,14,28,37,42
Fuerstia marisgermanicae,NH11,10,20,28,30
Fulvibacter tottoriensis,MTT-39T,33,4,25,37
Fulvibacter tottoriensis,MTT-39,27,10,25,37
Fulvimarina manganoxydans,CGMCC1,41,4,28,45
Fulvimarina pelagi,HTCC2506,36,4,30,40
Fulvimonas yonginensis,5GHs31-2,30,15,29,45
Fulvimonas yonginensis,5GHs31-2T,30,15,28,45
Fulvivirga imtechensis,AK7,20,20,30,40
Fulvivirga kasyanovii,KMM 6220T,30,14,35,44
Fulvivirga lutimaris,TM-6,23,10,30,33
Fundibacter jadensis,T9T,30,10,30,40
Fundidesulfovibrio terrae,JCM 35589T,17,20,30,37
Further differences,DSM28579T,30,20,37,50
Fusibacter bizertensis,LTF Kr01T,25,15,30,40
Fusibacter fontis,DSM 28450T,30,15,30,45
Fusibacter paucivorans,DSM 12116T,25,20,37,45
Fusibacter tunisiensis,BELH1T,25,15,30,40
Fusobacterium alocis,VPI D40B-5,20,25,37,45
Fusobacterium perfoetens,PVA B3/63,20,25,37,45
Fusobacterium pseudoperiodonticum,ChDC F213,7,30,35,37
Fusobacterium sulci,,20,25,37,45
Gabonia massiliensis,GM3,17,28,37,45
Gaetbulibacter aestuarii,KYW382,30,10,25,40
Gaetbulibacter aquiaggeris,KEM-8,28,4,30,32
Gaetbulibacter jejuensis,CNURIC014,22,15,30,37
Gaetbulibacter lutimaris,D1-y4,24,4,25,28
Gaetbulibacter marinus,IMCC1914,34,3,25,37
Gaetbulicola byunsanensis,SMK-114,30,10,25,40
Gaetbulimicrobium brevivitae,KCTC 12390T,31,10,37,41
Gaiella occulta,F2-233,30,15,35,45
Galactobacter valiniphilus,DSM 107699T,22,15,30,37
Galbibacter marinus,I2-15T,27,10,25,37
Galbibacter mesophilus,NBRC 101624T,32,10,25,42
Galbitalea soli,KIS82-1,27,10,29,37
Galbitalea soli,KACC 15520T,27,10,28,37
Galenea microaerophila,P2D,30,20,35,50
Gallaecimonas pentaromativorans,DSM 21945T,17,20,30,37
Gallaecimonas xiamenensis,LMG 25226T,32,10,25,42
Gallionella ferruginea,Johan,20,5,20,25
Galliscardovia ingluviei,RP51,34,15,39,49
Gandjariella thermophila,SL3-2-4T,25,30,45,55
Gangjinia marincola,GJ16T,10,20,25,30
Gangjinia marincola,GJ16,10,20,25,30
Gaoshiqia hydrogeniformans,Z1-71ᵀ,32,10,35,42
Gaoshiqia sediminis,KCTC 92029T,20,20,33,40
Garciella nitratireducens,MET79,35,25,55,60
Gardnerella vaginalis,ATCC 14018,17,25,36,42
Garicola koreensis,SJ5-4T,25,15,30,40
Garritya polymorpha,ATCC 27820,10,22,32,32
Gayadomonas joobiniege,G7,22,20,35,42
Gelatiniphilus marinus,KCTC 42903T,22,15,30,37
Gelidibacter algens,,18,0,16.5,18
Gelidibacter gilvus,IC158,27,-2,15,25
Gelidibacter japonicus,JCM 31967,41,4,35,45
Gellertiella hungarica,RAM11,30,15,20,45
Gelria glutamica,TGO T,23,37,52.5,60
Gelria glutamica,TGO,23,37,50,60
Geminicoccus roseus,D2-3,30,15,30,45
Geminisphaera colitermitum,TAV2,20,15,30,35
Gemmata massiliana,CSUR P189,12,25,30,37
Gemmatimonas aurantiaca,T-27T,10,25,30,35
Gemmatimonas phototrophica,AP64T,14,16,25,30
Gemmatimonas phototrophica,AP64,14,16,25,30
Gemmatirosa kalamazoonesis,KBS708,20,20,37,40
Gemmobacter aquaticus,A1-9,30,10,25,40
Gemmobacter aquatilis,ATCC 49971,22,17,31,39
Gemmobacter caeni,DCA-1,18,17,25,35
Gemmobacter caeruleus,N8T,15,20,28,35
Gemmobacter denitrificans,JM10B15T,25,15,25,40
Gemmobacter fontiphilus,JS43T,20,10,25,30
Gemmobacter intermedius,119/4T,35,15,25,55
Gemmobacter intermedius,starin 119/4,40,15,37,55
Gemmobacter lanyuensis,BCRC 80378T,25,15,30,40
Gemmobacter lanyuensis,Orc-4,25,15,25,40
Gemmobacter megaterium,CF17T,19,18,26.5,37
Gemmobacter megaterium,CF17,19,18,25,37
Gemmobacter nanjingensis,Y12,30,10,28,40
Gemmobacter nectariphilus,AST4,17,20,30,37
Gemmobacter straminiformis,CAM-8T,17,20,25,37
Gemmobacter tilapiae,Ruye-53,27,10,20,37
Genbank database,DSM28579T,30,20,37,50
Gene accession,3753OT,18,42,50,60
General laboratory,DSM 12178T,30,10,30,40
Generation times,AY486133,25,20,37,45
Genomes were,WS4937T,27,12,33,39
Genomic comparative,SK-G1T,25,40,55,65
Geoalkalibacter subterraneus,Red1T,20,30,40,50
Geobacillus caldoxylosilyticus,DSM 12041,28,42,57.5,70
Geobacillus debilis,TfT,20,50,60,70
Geobacillus galactosidasius,CF1B,25,50,70,75
Geobacillus gargensis,DSM 15378T,25,45,60,70
Geobacillus icigianus,G1w1T,25,50,62.5,75
Geobacillus icigianus,G1w1,25,50,60,75
Geobacillus jurassicus,DS-1,20,45,58,65
Geobacillus kaustophilus,ATCC 8005,32,40,60,72
Geobacillus lituanicus,DSM 15325T,15,55,60,70
Geobacillus lituanicus,N-3,15,55,55,70
Geobacillus proteiniphilus,1017T,28,40,60,68
Geobacillus stearothermophilus,B5,35,40,60,75
Geobacillus tepidamans,DSM 16325T,28,39,55,67
Geobacillus thermantarcticus,LMG 23032,43,37,60,80
Geobacillus thermocatenulatus,DSM 730,43,35,65,78
Geobacillus thermodenitrificans,DSM 465,25,45,50,70
Geobacillus thermoleovorans,ATCC 43513,25,45,55,70
Geobacillus toebii,DSM 14590,25,45,60,70
Geobacillus vulcani,3s-1,35,37,60,72
Geobacillus yumthangensis,JCM 32596,30,40,60,70
Geobacter anodireducens,CGMCC 1,27,15,30,42
Geobacter argillaceus,G12,26,10,30,36
Geobacter bemidjiensis,DSM 16622T,22,15,30,37
Geobacter bemidjiensis,Bem,26,4,30,30
Geobacter daltonii,FRC-32,15,20,30,35
Geobacter luticola,DSM 24905T,20,20,30,40
Geobacter pickeringii,G13,26,10,30,36
Geobacter psychrophilus,P35,26,4,17,30
Geobacter soli,GSS01T,24,16,30,40
Geobacter thiogenes,JCM 14045T,27,10,30,37
Geobacter toluenoxydans,TMJ1,26,16,25,42
Geodermatophilus africanus,CF11/1,17,20,25,37
Geodermatophilus amargosae,G12,15,25,25,40
Geodermatophilus aquaeductus,BMG801,35,10,25,45
Geodermatophilus arenarius,CF5/4,25,15,28,40
Geodermatophilus brasiliensis,Tü 6233,10,20,27,30
Geodermatophilus brasiliensis,DSM 44526T,20,15,20,35
Geodermatophilus bullaregiensis,BMG841,30,10,25,40
Geodermatophilus chilensis,B12,33,10,35,43
Geodermatophilus daqingensis,WT-2-1,25,15,35,40
Geodermatophilus dictyosporus,G-5,30,10,25,40
Geodermatophilus maliterrae,DSM 116197T,4,28,30,32
Geodermatophilus nigrescens,YIM 75980,17,28,37,45
Geodermatophilus normandii,CF5/3,25,15,25,40
Geodermatophilus poikilotrophus,G18,20,15,25,35
Geodermatophilus pulveris,CECT 9003T,30,10,35,40
