species_name,source_file,growth_temperature_combined,raw_output_combined,Tmin_list,Tmax_list,Topt_list,Tmin,Tmax,Topt
Flavobacterium ceti,"Vela-2007-Flavobacterium ceti sp nov., isolate","4-42°C (optimal 37°C) | 22-37°C, optimal at 35°C",,4.0,42.0,37.0,4,42,37
Flavobacterium chilense,Kampfer-2012-Flavobacterium chilense sp nov an,"4-30°C (optimum 25-28°C) | Optimum 25-28°C, Range 4-30°C",,4.0,30.0,26.5,4,30,26.5
Flavobacterium chilense sp. nov.,Kampfer-2012-Flavobacterium chilense sp nov an,15,,,,15.0,,,15
Flavobacterium chungangense,Kim-2009-Flavobacterium chungangense sp nov,5-35 °C (optimum 25 °C),,5.0,35.0,25.0,5,35,25
Flavobacterium chungbukense,Lim-2011-Flavobacterium chungbukense sp nov,4-30 °C | 4-30 °C (optimum 25 °C),,4.0,30.0,25.0,4,30,25
Flavobacterium circumlabens,Kralova-2019-Flavobacterium circumlabens sp. n,1-25°C,,1.0,25.0,,1,25,
Flavobacterium circumlabens sp. nov.,Kralova-2019-Flavobacterium circumlabens sp. n,"1-40°C (tested range), psychrotrophic | 20 ± 2°C",,1.0,40.0,20.0,1,40,20
Flavobacterium cloacae,"Liu-2017-Flavobacterium cloacae sp nov., isola",15-45°C (optimum 25-40°C),,15.0,45.0,,15,45,
Flavobacterium collinsense,Zhang-2016-Flavobacterium collinsense sp nov,4-28°C (optimum 18-20°C) | 4-28 °C (optimum 18-20 °C),,4.0,28.0,19.0,4,28,19
Flavobacterium commune,"Ekwe-2018-Flavobacterium commune sp nov., isol",4-40°C (optimum 30°C),,4.0,40.0,30.0,4,40,30
Flavobacterium compostarboris,Kim-2012-Flavobacterium compostarboris sp nov,9-33 °C (optimum 25 °C),,9.0,33.0,25.0,9,33,25
Flavobacterium compostarboris sp. nov.,Kim-2012-Flavobacterium compostarboris sp nov,9-33°C (optimum 25°C),,9.0,33.0,25.0,9,33,25
Flavobacterium crassostreae,Choi-2017-Flavobacterium crassostreae sp nov,4-30°C | 15-30°C (optimum 25°C),,4.0,30.0,25.0,4,30,25
Flavobacterium cucumis,Weon-2007-Flavobacterium terrae sp nov and Fla,5-37 °C (optimum 30 °C),,5.0,37.0,30.0,5,37,30
Flavobacterium cupreum,Kralova-2019-Flavobacterium circumlabens sp. n,1-25°C,,1.0,25.0,,1,25,
Flavobacterium cupreum sp. nov.,Kralova-2019-Flavobacterium circumlabens sp. n,"1-40°C (tested range), psychrotrophic | 20 ± 2°C | 30°C",,1.0,40.0,30.0,1,40,30
Flavobacterium cutihirudinis,Glaeser-2013-Flavobacterium cutihirudinis sp n,25 | 10-30 °C (optimum 25-28 °C),,10.0,30.0,25.0,10,30,25
Flavobacterium cyanobacteriorum,Cai-2018-Flavobacterium cyanobacteriorum sp no,4-32°C (optimal 28°C) | 4-32°C (optimum 28°C),,4.0,32.0,28.0,4,32,28
Flavobacterium daejeonense,Kim-2006-Flavobacterium daejeonense sp nov and,5-35 °C,,5.0,35.0,,5,35,
Flavobacterium dankookense,"Lee-2012-Flavobacterium dankookense sp nov., i",4-30°C (optimal 25°C) | 4-37 °C (optimum 25 °C),,4.0,30.0,25.0,4,30,25
Flavobacterium dasani,Chaudhary-2019-Flavobacterium dasani sp. nov,0-30 °C | 0-30 °C (optimum 10-15 °C),,0.0,30.0,,0,30,
Flavobacterium degerlachei,"Kaur-2012-Flavobacterium rakeshii sp nov., iso",psychrophilic,,,,,,,
Flavobacterium degerlachei sp. nov.,Van Trappen-2004-Flavobacterium degerlachei sp,5-30 °C with optimal growth temperature of 20 °C,,5.0,30.0,20.0,5,30,20
Flavobacterium denitrificans,Horn-2005-Dechloromonas denitrificans sp nov,"25 °C | 10 to 30 °C, optimal at 25°C",,10.0,30.0,25.0,10,30,25
Flavobacterium dispersum,"Chen-2017-Flavobacterium dispersum sp nov., is",20-30°C | 15-30 (20-30) | 15-30°C (optimum 20-25°C),,15.0,30.0,22.5,15,30,22.5
Flavobacterium dongtanense,Xiao-2011-Flavobacterium dongtanense sp. nov,4-37°C (optimum 30°C),,4.0,37.0,30.0,4,37,30
Flavobacterium eburneum,"Hwang-2017-Flavobacterium eburneum sp nov., is",10-35°C (optimum 25-30°C),,10.0,35.0,,10,35,
Flavobacterium endophyticum,Gao-2015-Flavobacterium endophyticum sp nov,"10-45 °C (optimum 30 °C) | Optimal: 28°C, Maximal: 45°C",,10.0,45.0,30.0,10,45,30
Flavobacterium enshiense,"Dong-2013-Flavobacterium enshiense sp nov., is",28 | 4-32°C (optimum 28°C),,4.0,32.0,28.0,4,32,28
Flavobacterium faecale,"Kim-2014-Flavobacterium faecale sp nov., an ag",16 °C | 10-30 °C (optimum 16 °C),,10.0,30.0,16.0,10,30,16
Flavobacterium flaviflagrans,Dahal-2017-Flavobacterium flaviflagrans sp nov,15-42°C | 15-42°C (optimum 20-35°C),,15.0,42.0,,15,42,
Flavobacterium fluminis,Ahn-2017-Flavobacterium fluminis sp nov to acc,4-30°C (optimum 25°C),,4.0,30.0,25.0,4,30,25
Flavobacterium fluviatile,"Chen-2018-Flavobacterium fluviatile sp nov., i",20-30°C (optimal) | 15-30°C (optimum 20-30°C),,15.0,30.0,25.0,15,30,25
Flavobacterium fluvii,"Lee-2010-Flavobacterium fluvii sp nov., isolat",5-35 °C (optimal 30 °C) | 15-35 °C (optimum 25-30 °C),,5.0,35.0,30.0,5,35,30
Flavobacterium foetidum,"Bu-2018-Flavobacterium foetidum sp nov., isola",15-37°C (optimum 30°C),,15.0,37.0,30.0,15,37,30
Flavobacterium fontis,"Chun-2013-Flavobacterium fontis sp nov., isola",15-42 °C (optimum 25 °C),,15.0,42.0,25.0,15,42,25
Flavobacterium frigidarium,Bernardet-2002-Proposed minimal standards for,psychrophilic,,,,,,,
Flavobacterium frigidarium,Humphry-2001-Flavobacterium frigidarium sp nov,"0-24°C, optimum 15°C | 15 °C optimum, 24 °C maximum | 0-24 °C (minimum below 0°C)",,0.0,24.0,15.0,0,24,15
Flavobacterium frigidarium,"Kaur-2012-Flavobacterium rakeshii sp nov., iso",psychrophilic,,,,,,,
Flavobacterium frigoris,"Kaur-2012-Flavobacterium rakeshii sp nov., iso",psychrophilic,,,,,,,
Flavobacterium frigoris,Van Trappen-2004-Flavobacterium degerlachei sp,"5-20°C (weak growth at 25°C, no growth at 37°C)",,5.0,20.0,,5,20,
Flavobacterium fryxellicola,"Lee-2010-Flavobacterium fluvii sp nov., isolat",psychrophilic,,,,,,,
Flavobacterium fryxellicola,Van Trappen-2005-Flavobacterium fryxellicola s,"5-25°C, optimal at 20°C, no growth at 30°C",,5.0,25.0,20.0,5,25,20
Flavobacterium gelidilacus,Van Trappen-2003-Flavobacterium gelidilacus sp,20 | 5-25°C (optimal at 20°C),,5.0,25.0,20.0,5,25,20
Flavobacterium gilvum,"Shin-2017-Flavobacterium gilvum sp nov., isola",4-30°C (optimum 28°C),,4.0,30.0,28.0,4,30,28
Flavobacterium ginsengisoli,Kim-2013-Flavobacterium ginsengisoli sp nov,"25-30 °C | 4-35 °C (optimum, 25-30 °C)",,4.0,35.0,,4,35,
Flavobacterium ginsenosidimutans,Yang-2011-Flavobacterium ginsenosidimutans sp,10-37°C (optimal 25-37°C) | 10-37°C (optimum 25-30°C),,10.0,37.0,,10,37,
Flavobacterium glaciei,Dong-2012-Flavobacterium xueshanense sp nov an,psychrophilic,,,,,,,
Flavobacterium glaciei,Kacagan-2013-Flavobacterium anatoliense sp nov,psychrophilic,,,,,,,
Flavobacterium glaciei,"Kim-2011-Flavobacterium banpakuense sp nov., i",psychrophilic,,,,,,,
Flavobacterium glaciei,"Zhang-2006-Flavobacterium glaciei sp nov., a n",21°C (optimal) | 4-25 °C,,4.0,25.0,21.0,4,25,21
Flavobacterium gleum,"Holmes-1984-Flavobacterium-Gleum, a New Specie","room temperature, 30°C, 37°C (nine strains grew at 42°C, none grew at 5°C) | room temperature and 37°C but not at 5°C",,,42.0,30.0,,42,30
Flavobacterium glycines,Madhaiyan-2010-Flavobacterium glycines sp. nov,30 | 10-35 °C (optimum 28 °C),,10.0,35.0,28.0,10,35,28
Flavobacterium gondwanense,Dobson-1993-Direct Sequencing of the Polymeras,25,,,,25.0,,,25
Flavobacterium gossypii,Kampfer-2017-Flavobacterium gossypii sp nov is,"4-45°C (optimal 30°C) | 15-30°C (weak at 4 and 45°C, no growth at 50°C)",,4.0,45.0,30.0,4,45,30
Flavobacterium granuli,"Aslam-2005-Flavobacterium granuli sp nov., iso",15-30 °C | 15-37°C (optimum 25-30°C),,15.0,37.0,30.0,15,37,30
Flavobacterium gyeonganense,Kim-2014-Flavobacterium gyeonganense sp nov,"30 °C (optimum), range 4-37 °C | 10-37 °C (optimum 30 °C)",,4.0,37.0,30.0,4,37,30
Flavobacterium hankyongi,"Liu-2018-Flavobacterium hankyongi sp nov., iso",18-30°C,,18.0,30.0,,18,30,
Flavobacterium haoranii,"Zhang-2010-Flavobacterium haoranii sp nov., a",15-37 °C (optimum 30 °C),,15.0,37.0,30.0,15,37,30
Flavobacterium hauense,"Dong-2013-Flavobacterium hauense sp nov., isol",0-37°C (optimal 28°C) | 4-32 °C (optimum 28 °C),,0.0,37.0,28.0,0,37,28
Flavobacterium hercynium,Cousin-2007-Flavobacterium aquidurense sp nov,25 | 12-29°C (optimum 20-27°C),,12.0,29.0,,12,29,
Flavobacterium hiemivividum,Chaudhary-2020-Flavobacterium sandaracinum sp,0-28°C | 0-28 °C (optimum 10-15 °C),,0.0,28.0,,0,28,
Flavobacterium hiemivividum sp. nov.,Chaudhary-2020-Flavobacterium sandaracinum sp,15 °C,,,,15.0,,,15
Flavobacterium jumunjinense,Joung-2013-Flavobacterium jumunjinense sp nov,20 °C | 15-30 °C (optimum 25 °C),,15.0,30.0,25.0,15,30,25
Flavobacterium keumense,"Ekwe-2017-Flavobacterium keumense sp nov., iso",4-35°C (optimum 30°C),,4.0,35.0,30.0,4,35,30
Flavobacterium kingsejongi,Choi-2018-Flavobacterium kingsejongi sp nov,25°C | 10-37°C (optimum 25°C),,10.0,37.0,25.0,10,37,25
Flavobacterium lacunae,"Chen-2017-Flavobacterium lacunae sp nov., isol",20-25°C | 20-30 (20-25),,20.0,30.0,,20,30,
Flavobacterium lacunae sp. nov.,"Chen-2017-Flavobacterium lacunae sp nov., isol",20-30°C (optimum 20-25°C),,20.0,30.0,22.5,20,30,22.5
Flavobacterium lacus,"Li-2014-Flavobacterium lacus sp nov., isolated",4-25°C (optima 15-20°C) | 4-25 °C (optimum 20 °C),,4.0,25.0,20.0,4,25,20
Flavobacterium limicola,"Chen-2013-Flavobacterium tilapiae sp nov., iso",psychrophilic,,,,,,,
Flavobacterium limicola,Dong-2012-Flavobacterium xueshanense sp nov an,psychrophilic,,,,,,,
Flavobacterium limicola,Kacagan-2013-Flavobacterium anatoliense sp nov,psychrophilic,,,,,,,
Flavobacterium limicola,Kanno-2015-Catenisphaera adipataccumulans gen,psychrophilic,,,,,,,
Flavobacterium limicola,"Kaur-2012-Flavobacterium rakeshii sp nov., iso",psychrophilic,,,,,,,
Flavobacterium limicola,"Kim-2011-Flavobacterium banpakuense sp nov., i",psychrophilic,,,,,,,
Flavobacterium limicola,"Lee-2010-Flavobacterium fluvii sp nov., isolat",psychrophilic,,,,,,,
Flavobacterium limicola,"Tamaki-2003-Flavobacterium limicola sp nov., a",0-25°C (optimum 15-20°C) | 0-25 °C (optimum 15-20 °C),,0.0,25.0,,0,25,
Flavobacterium limicola,"Tamaki-2011-Armatimonas rosea gen. nov., sp no",psychrophilic,,,,,,,
Flavobacterium limicola,Van Trappen-2004-Flavobacterium degerlachei sp,psychrophilic,,,,,,,
Flavobacterium limicola,"Yamada-2014-Granulicella cerasi sp nov., an ac",psychrophilic,,,,,,,
Flavobacterium limnosediminis,Lee-2013-Flavobacterium limnosediminis sp nov,"30°C (routine cultivation), isolation at 16°C | 10-37 °C",,10.0,37.0,30.0,10,37,30
Flavobacterium lindanitolerans,Jit-2008-Flavobacterium lindanitolerans sp nov,28 | 10-37 °C (optimum 37 °C),,10.0,37.0,37.0,10,37,37
Flavobacterium longum,Fujii-2014-Flavobacterium Iongum sp nov and Fl,4-30°C | 10-37°C (optimum 30°C),,"4.0, 10.0","30.0, 37.0",30.0,4,37,30
Flavobacterium luticocti,"Liu-2017-Flavobacterium luticocti sp nov., iso",15-40°C (optimum 25-37°C),,15.0,40.0,,15,40,
Flavobacterium lutivivi,"Feng-2016-Flavobacterium lutivivi sp nov., iso",25 | 18-37 °C (optimum 25 °C),,18.0,37.0,25.0,18,37,25
Flavobacterium maotaiense,"Feng-2015-Flavobacterium maotaiense sp nov., i",20-37°C (optimum 25°C),,20.0,37.0,25.0,20,37,25
Flavobacterium micromati,"Kaur-2012-Flavobacterium rakeshii sp nov., iso",psychrophilic,,,,,,,
Flavobacterium multivorum,"Holmes-1981-Flavobacterium-Multivorum, a New S","30 | 30°C optimal, grows at room temperature and 37°C, not at 5 or 42°C",,5.0,42.0,30.0,5,42,30
Flavobacterium multivorum sp. nov.,"Holmes-1981-Flavobacterium-Multivorum, a New S","Optimum temperature: about 30°C, Growth at 37°C but not at 5 or 42°C",,5.0,42.0,30.0,5,42,30
Flavobacterium myungsuense,Joung-2012-Flavobacterium yonginense sp nov an,4-30°C (optimum 20°C) | 4-25 °C (optimum 20 °C),,4.0,30.0,20.0,4,30,20
Flavobacterium naphthae,Chaudhary-2018-Flavobacterium naphthae sp nov,15-45°C | 15-45°C (optimum 25-35°C),,15.0,45.0,30.0,15,45,30
Flavobacterium nitrogenifigens,Kampfer-2015-Flavobacterium nitrogenifigens sp,"10-36°C (optimal 30°C) | 15-30°C (optimal 30°C), weak growth at 10-36°C, no growth at 40°C",,10.0,36.0,30.0,10,36,30
Flavobacterium noncentrifugens,Zhu-2013-Flavobacterium noncentrifugens sp nov,0-29°C (optimum 10-20°C) | 0-29 °C (optimum 10-20 °C),,0.0,29.0,15.0,0,29,15
Flavobacterium oceanosedimentum,Carty-1978-Characterization of a New Marine Se,"23°C (optimum) | minimum 5°C, optimum 23°C, maximum 35°C",,5.0,35.0,23.0,5,35,23
Flavobacterium odoratum,"Holmes-1977-Revised Description, from Clinical",37,,,,37.0,,,37
Flavobacterium olei,"Chaudhary-2017-Flavobacterium olei sp nov., a",0-32°C (optimum 10-25°C),,0.0,32.0,,0,32,
Flavobacterium olei sp. nov.,"Chaudhary-2017-Flavobacterium olei sp nov., a",0-32°C,,0.0,32.0,,0,32,
Flavobacterium omnivorum,"Chen-2013-Flavobacterium tilapiae sp nov., iso",psychrophile,,,,,,,
Flavobacterium omnivorum,Dong-2012-Flavobacterium xueshanense sp nov an,psychrophilic,,,,,,,
Flavobacterium omnivorum,Kacagan-2013-Flavobacterium anatoliense sp nov,psychrophilic,,,,,,,
Flavobacterium omnivorum,"Kaur-2012-Flavobacterium rakeshii sp nov., iso",psychrophilic,,,,,,,
Flavobacterium omnivorum,"Lee-2010-Flavobacterium fluvii sp nov., isolat",psychrophilic,,,,,,,
Flavobacterium omnivorum,Van Trappen-2004-Flavobacterium degerlachei sp,psychrophilic,,,,,,,
Flavobacterium omnivorum,Zhu-2003-Flavobacterium xinjiangense sp nov an,0-20 °C (optimal 11 °C) | Optimal growth at 11°C; no growth at 20°C,,0.0,20.0,11.0,0,20,11
Flavobacterium orientale,"Li-2017-Flavobacterium orientale sp nov., isol",4-37°C | 4-30°C (optimum 25°C),,4.0,37.0,25.0,4,37,25
Flavobacterium oryzae,"Chen-2014-Flavobacterium oryzae sp nov., isola",10-30 °C (optimum 30 °C) | 10-30 (30),,10.0,30.0,30.0,10,30,30
Flavobacterium ovatum,"Ren-2018-Flavobacterium ovatum sp nov., a mari",20°C | 0-25°C (optimum 20°C),,0.0,25.0,20.0,0,25,20
Flavobacterium palustre,"Feng-2015-Flavobacterium palustre sp nov., iso",6-37°C (optimum 28°C) | 6-37 °C (optimum 28 °C),,6.0,37.0,28.0,6,37,28
Flavobacterium paronense,"Joung-2016-Flavobacterium paronense sp nov., i",4-30°C (optimum 25°C) | 10-30°C (optimum 25°C),,4.0,30.0,25.0,4,30,25
Flavobacterium petrolei,Chaudhary-2019-Flavobacterium petrolei sp. nov,0-25 °C (optimum 10-15 °C) | 10,,0.0,25.0,12.5,0,25,12.5
Flavobacterium phocarum,"Zhou-2018-Flavobacterium phocarum sp nov., iso",4-25°C (optimum 20°C),,4.0,25.0,20.0,4,25,20
Flavobacterium phragmitis,"Liu-2011-Flavobacterium phragmitis sp nov., an",30°C | 15-35 °C (optimum 30 °C),,15.0,35.0,30.0,15,35,30
Flavobacterium piscis,Zamora-2014-Flavobacterium tructae sp nov and,30°C | 15-30°C with optimal growth at approximately 25°C,,15.0,30.0,25.0,15,30,25
Flavobacterium piscis sp. nov.,Zamora-2014-Flavobacterium tructae sp nov and,25,,,,25.0,,,25
Flavobacterium ponti,"Yoon-2011-Flavobacterium ponti sp. nov., isola","25 °C | Optimal growth temperature is 25°C; growth occurs at 10 and 35°C, but not at 4 or 37°C",,10.0,35.0,25.0,10,35,25
Flavobacterium procerum,"Feng-2015-Flavobacterium procerum sp nova, iso",10–34 °C (optimum 28 °C) | 10-34°C (optimum 28°C),,10.0,34.0,28.0,10,34,28
Flavobacterium psychrolimnae,"Lee-2010-Flavobacterium fluvii sp nov., isolat",psychrophilic,,,,,,,
Flavobacterium psychrolimnae,Van Trappen-2005-Flavobacterium fryxellicola s,"5-25°C, optimal at 20°C, weak growth at 30°C, no growth at 37°C",,5.0,25.0,20.0,5,25,20
Flavobacterium psychrophilum,Bernardet-1996-Cutting a gordian knot_ Emended,15 to 18°C (optimum),,15.0,18.0,,15,18,
Flavobacterium quisquiliarum,Zhang-2017-Flavobacterium quisquiliarum sp nov,15-37°C (optimum 25°C),,15.0,37.0,25.0,15,37,25
Flavobacterium rakeshii,"Kaur-2012-Flavobacterium rakeshii sp nov., iso",15-37°C (optimum 30°C) | 20-37 °C (optimum 30 °C),,15.0,37.0,30.0,15,37,30
Flavobacterium reichenbachii,"Ali-2009-Flavobacterium rivuli sp nov., Flavob",20°C | 6-30°C (optimal 20-26°C),,6.0,30.0,23.0,6,30,23
Flavobacterium rivuli,"Ali-2009-Flavobacterium rivuli sp nov., Flavob","20°C | 4-29°C, optimal 16-24°C",,4.0,29.0,,4,29,
Flavobacterium salegens,Dobson-1993-Direct Sequencing of the Polymeras,25,,,,25.0,,,25
Flavobacterium saliperosum,"Wang-2006-Flavobacterium saliperosum sp nov, i",20-34 °C (optimum 28 °C),,20.0,34.0,28.0,20,34,28
Flavobacterium sandaracinum,Chaudhary-2020-Flavobacterium sandaracinum sp,0-25°C | 0-25 °C (optimum 10-15 °C),,0.0,25.0,,0,25,
Flavobacterium sandaracinum sp. nov.,Chaudhary-2020-Flavobacterium sandaracinum sp,15 °C,,,,15.0,,,15
Flavobacterium sasangense,"Yoon-2009-Flavobacterium sasangense sp nov., i",10-35°C (optimum 30°C),,10.0,35.0,30.0,10,35,30
Flavobacterium segetis,Kacagan-2013-Flavobacterium anatoliense sp nov,psychrophilic,,,,,,,
Flavobacterium segetis,Yi-2006-Flavobacterium weaverense sp nov and F,"minimum: -29.7°C, optimum: 14.3°C, maximum: 18.9°C | 5.0-21.8°C (minimum 229.7°C, optimum 14.3°C, maximum 18.9°C)",,-29.7,18.9,14.3,-29.7,18.9,14.3
Flavobacterium sinopsychrotolerans,Xu-2011-Flavobacterium sinopsychrotolerans sp,4-25 °C (optimum 21-22 °C),,4.0,25.0,21.5,4,25,21.5
Flavobacterium soli,"Yoon-2006-Flavobacterium soli sp nov., isolate","4-33°C, optimal 25°C",,4.0,33.0,25.0,4,33,25
Flavobacterium spartansii,"Loch-2014-Flavobacterium spartansii sp nov., a","4-22°C (growth at 4, 15, 22°C; no growth at 37 and 42°C) | 22 | 4-22 °C",,4.0,22.0,,4,22,
Flavobacterium spiritivorum,"Holmes-1982-Flavobacterium-Spiritivorum, a New","30°C | 30°C (optimal), room temperature to 37°C, not at 5°C or 42°C",,,,30.0,,,30
Flavobacterium suaedae,"Sun-2016-Flavobacterium suaedae sp nov., an en",30 | 15-40°C (optimum 30-33°C),,15.0,40.0,31.5,15,40,31.5
Flavobacterium subsaxonicum,"Ali-2009-Flavobacterium rivuli sp nov., Flavob",20°C | 2-38°C (optimal 24-28°C),,2.0,38.0,26.0,2,38,26
Flavobacterium suncheonense,Kim-2006-Flavobacterium daejeonense sp nov and,15-37 °C,,15.0,37.0,,15,37,
Flavobacterium suzhouense,Zhang-2015-Flavobacterium suzhouense sp nov,4-37°C (optimum 28°C) | 4-37 °C (optimum 28 °C),,4.0,37.0,28.0,4,37,28
Flavobacterium swingsii,"Ali-2009-Flavobacterium rivuli sp nov., Flavob",20°C | 3-26°C (optimal 24-26°C),,3.0,26.0,25.0,3,26,25
Flavobacterium terrae,Weon-2007-Flavobacterium terrae sp nov and Fla,5-37 °C (optimum 30 °C),,5.0,37.0,30.0,5,37,30
Flavobacterium terrigena,"Yoon-2007-Flavobacterium terrigena sp nov., is","25°C (optimal), range: 10-30°C",,10.0,30.0,25.0,10,30,25
Flavobacterium terriphilum,Zhang-2016-Flavobacterium terriphilum sp nov,28°C | 4-30°C (optimum 28°C),,4.0,30.0,28.0,4,30,28
Flavobacterium thalpophilum,Dees-1985-Chemical and Phenotypic Characterist,37 and 42°C,,37.0,42.0,,37,42,
Flavobacterium thalpophilum,"Holmes-1983-Flavobacterium-Thalpophilum, a New","room temperature, 30°C, 37°C, 42°C (no growth at 5°C) | room temperature (18 to 22°C), 37°C, 42°C",,18.0,42.0,30.0,18,42,30
Flavobacterium thermophilum,Holmes-1979-Proposal That Flavobacterium-Breve,thermophilic,,,,,,,
Flavobacterium tiangeerense,Dong-2012-Flavobacterium xueshanense sp nov an,cold-living,,,,,,,
Flavobacterium tiangeerense,Xin-2009-Flavobacterium tiangeerense sp nov,4-26°C (optimum 22-23°C),,4.0,26.0,22.5,4,26,22.5
Flavobacterium tilapiae,"Chen-2013-Flavobacterium tilapiae sp nov., iso",10-30°C (optimum 15-30°C) | 25°C | 10-30 °C (optimum 15-30 °C),,10.0,30.0,,10,30,
Flavobacterium tistrianum,Suwannachart-2016-Flavobacterium tistrianum sp,30°C | 15-30°C (optimum 25-30°C),,15.0,30.0,25.0,15,30,25
Flavobacterium tructae,Zamora-2014-Flavobacterium tructae sp nov and,15-30°C with optimal growth at approximately 25°C,,15.0,30.0,25.0,15,30,25
Flavobacterium tructae sp. nov.,Zamora-2014-Flavobacterium tructae sp nov and,25,,,,25.0,,,25
Flavobacterium tyrosinilyticum,Du-2016-Flavobacterium tyrosinilyticum sp nov,4-33°C | 4-33°C (optimum 24-28°C),,4.0,33.0,,4,33,
Flavobacterium ummariense,"Lata-2012-Flavobacterium ummariense sp nov., i","28 | 25-37°C, optimum 28°C",,25.0,37.0,28.0,25,37,28
Flavobacterium urocaniciphilum,Fujii-2014-Flavobacterium Iongum sp nov and Fl,4-30°C | 10-37°C | 10-37 °C (optimum 30 °C),,4.0,37.0,30.0,4,37,30
Flavobacterium urumqiense,Dong-2012-Flavobacterium xueshanense sp nov an,14 °C | 2-17 °C (optimum 14-15 °C),,2.0,17.0,14.0,2,17,14
Flavobacterium urumqiense,Zhang-2017-Flavobacterium quisquiliarum sp nov,psychrophilic,,,,,,,
Flavobacterium verecundum,"Sheu-2016-Flavobacterium verecundum sp nov., i",20-30°C (optimum 30°C) | 20-30 (30),,20.0,30.0,30.0,20,30,30
Flavobacterium weaverense,Kacagan-2013-Flavobacterium anatoliense sp nov,psychrophilic,,,,,,,
Flavobacterium weaverense,Yi-2006-Flavobacterium weaverense sp nov and F,"minimum: -29.7°C, optimum: 15.3°C, maximum: 19.9°C | 5.0-19.9°C (minimum 229.7°C, optimum 15.3°C, maximum 19.9°C)",,-29.7,19.9,15.3,-29.7,19.9,15.3
Flavobacterium xinjiangense,"Chen-2013-Flavobacterium tilapiae sp nov., iso",psychrophile,,,,,,,
Flavobacterium xinjiangense,Dong-2012-Flavobacterium xueshanense sp nov an,psychrophilic,,,,,,,
Flavobacterium xinjiangense,Kacagan-2013-Flavobacterium anatoliense sp nov,psychrophilic,,,,,,,
Flavobacterium xinjiangense,"Kaur-2012-Flavobacterium rakeshii sp nov., iso",psychrophilic,,,,,,,
Flavobacterium xinjiangense,"Lee-2010-Flavobacterium fluvii sp nov., isolat",psychrophilic,,,,,,,
Flavobacterium xinjiangense,Van Trappen-2004-Flavobacterium degerlachei sp,psychrophilic,,,,,,,
Flavobacterium xinjiangense,Zhu-2003-Flavobacterium xinjiangense sp nov an,0-20 °C (optimal 11 °C) | Optimal growth at 11°C; no growth at 20°C,,0.0,20.0,11.0,0,20,11
Flavobacterium xueshanense,Dong-2012-Flavobacterium xueshanense sp nov an,14 °C | 2-18 °C (optimum 14 °C),,2.0,18.0,14.0,2,18,14
Flavobacterium xueshanense,Zhang-2017-Flavobacterium quisquiliarum sp nov,psychrophilic,,,,,,,
Flavobacterium yabuuchiae,Holmes-1988-A Taxonomic Study of Flavobacteriu,"30°C optimal, grows at 18-22°C and 37°C, no growth at 5°C or 42°C",,18.0,37.0,30.0,18,37,30
Flavobacterium yanchengense,"Hu-2013-Flavobacterium yanchengense sp nov., i",15-37°C (optimum 30°C),,15.0,37.0,30.0,15,37,30
Flavobacterium yonginense,Joung-2012-Flavobacterium yonginense sp nov an,4-30°C (optimum 20°C) | 15-30 °C (optimum 20 °C),,4.0,30.0,20.0,4,30,20
Flavonifractor plautii,Carlier-2010-Proposal to unify Clostridium orb,37,,,,37.0,,,37
Flectobacillus fontis,"Chen-2017-Flectobacillus fontis sp nov., isola",15-30°C (optimum 25°C) | 15-30 (25),,15.0,30.0,25.0,15,30,25
Flectobacillus lacus,"Hwang-2006-Flectobacillus lacus sp nov., isola",10-35°C (optimal 25-30°C) | 10-35 (25-30),,10.0,35.0,27.5,10,35,27.5
Flectobacillus major,Larkin-1977-Taxonomy of Genus Microcyclus-Orsk,25,,,,25.0,,,25
Flectobacillus pallidus,"Sheu-2017-Flectobacillus pallidus sp nov., iso",15-37°C (optimum 15-25°C),,15.0,37.0,20.0,15,37,20
Flectobacillus rhizosphaerae,Ramaprasad-2015-Flectobacillus rhizosphaerae s,4-40 °C (optimum 30 °C) | 4-40 (30),,4.0,40.0,30.0,4,40,30
Flectobacillus roseus,"Sheu-2009-Flectobacillus roseus sp nov., isola","25 °C (optimum), range 4-40 °C | 10-40°C (optimal 30°C)",,4.0,40.0,25.0,4,40,25
Flexibacter canadensis,Christensen-1980-Flexibacter-Canadensis Sp-Nov,"10 to 40°C, optimum 18 to 30°C",,10.0,40.0,24.0,10,40,24
Flexibacter columnaris,Bernardet-1989-Deoxyribonucleic-Acid Relatedne,"above 14°C | 22-25°C, some strains do not grow above 33°C, some grow scantily at 35-37°C | 10 to 33°C; optimum 20 to 25°C",,10.0,33.0,22.5,10,33,22.5
Flexibacter ovolyticus,"Hansen-1992-Flexibacter-Ovolyticus Sp-Nov, a P","15°C | 4°C (grows at 4°C, but not at 30°C)",,4.0,15.0,,4,15,
Flexibacter psychrophilus,Bernardet-1989-Deoxyribonucleic-Acid Relatedne,below 15°C | 10 to 20°C; optimum 15 to 18°C; scant growth at 6 and 22 to 25°C,,10.0,20.0,15.0,10,20,15
Flexilinea flocculi,Sun-2016-Isolation and characterization of Fle,25-43°C (optimum 37°C),,25.0,43.0,37.0,25,43,37
Flexivirga endophytica,"Gao-2016-Flexivirga endophytica sp nov., an en",20-45°C (optimum 28-35°C),,20.0,45.0,,20,45,
Flexivirga lutea,"Kang-2016-Flexivirga lutea sp nov., isolated f",10-37°C (optimum 30°C) | 10-37°C (optimal 30°C),,10.0,37.0,30.0,10,37,30
